month,carrier,arr_flights
1,AA,76276
1,AS,21110
1,B6,24709
1,DL,80067
1,TOTAL,202162
2,AA,72402
2,AS,19515
2,B6,23527
2,DL,75446
2,TOTAL,190890
4,AA,42362
4,AS,5964
4,B6,6886
4,DL,26002
4,TOTAL,81214
3,AA,80330
3,AS,21380
3,B6,25657
3,DL,86291
3,TOTAL,213658
5,AA,21904
5,AS,4391
5,B6,2762
5,DL,16952
5,TOTAL,46009
6,AA,27054
6,AS,6503
6,B6,5367
6,DL,21865
6,TOTAL,60789
7,AA,46161
7,AS,7661
7,B6,10495
7,DL,37269
7,TOTAL,101586
8,AA,46807
8,AS,9611
8,B6,7870
8,DL,47458
8,TOTAL,111746
9,AA,38890
9,AS,9643
9,B6,6378
9,DL,44323
9,TOTAL,99234
10,AA,40644
10,AS,10674
10,B6,8811
10,DL,46775
10,TOTAL,106904
11,AA,38480
11,AS,10766
11,B6,10737
11,DL,49275
11,TOTAL,109258
12,AA,38496
12,AS,11008
12,B6,10964
12,DL,49378
12,TOTAL,109846
